"","ask","base_volume","bid","date","high","last","low","marketName","moy_prev_dev","open_buy_orders","open_sell_orders","volume"
"64",0.00104466,4.64778355,0.00104046,"2020-03-27T09:47:09.62",0.00104922,0.00104323,0.00101783,"BTC-NEO",0.00103242,395,3074,4513.36978092
"65",0.00104466,4.64778355,0.00104113,"2020-03-27T09:47:24.653",0.00104922,0.00104323,0.00101783,"BTC-NEO",0.00103242,397,3073,4513.36978092
"66",0.00104466,4.64778355,0.00104147,"2020-03-27T09:47:39.637",0.00104922,0.00104323,0.00101783,"BTC-NEO",0.00103242,395,3074,4513.36978092
"67",0.00104466,4.64778355,0.0010415,"2020-03-27T09:47:54.687",0.00104922,0.00104323,0.00101783,"BTC-NEO",0.00103242,397,3074,4513.36978092
"68",0.00104466,4.65091758,0.0010415,"2020-03-27T09:48:09.64",0.00104922,0.00104466,0.00101783,"BTC-NEO",0.00103242,397,3074,4516.36983092
"69",0.00104466,4.65091758,0.0010415,"2020-03-27T09:48:24.62",0.00104922,0.00104466,0.00101783,"BTC-NEO",0.00103242,397,3073,4516.36983092
"70",0.00104474,4.65611503,0.0010415,"2020-03-27T09:48:39.63",0.00104922,0.00104466,0.00101783,"BTC-NEO",0.00103242,396,3072,4521.34509681
"71",0.00104474,4.65611503,0.0010415,"2020-03-27T09:48:54.63",0.00104922,0.00104466,0.00101783,"BTC-NEO",0.00103242,397,3072,4521.34509681
"72",0.00104474,4.65611503,0.0010415,"2020-03-27T09:49:09.66",0.00104922,0.00104466,0.00101783,"BTC-NEO",0.00103242,397,3072,4521.34509681
"73",0.00104474,4.65611503,0.00104193,"2020-03-27T09:49:24.657",0.00104922,0.00104466,0.00101783,"BTC-NEO",0.00103242,396,3069,4521.34509681
"74",0.00104521,4.65611503,0.00104194,"2020-03-27T09:49:39.66",0.00104922,0.00104466,0.00101783,"BTC-NEO",0.00103242,398,3069,4521.34509681
"75",0.00104504,4.65611503,0.00104195,"2020-03-27T09:49:54.687",0.00104922,0.00104466,0.00101783,"BTC-NEO",0.00103242,397,3070,4521.34509681
"76",0.00104504,4.65611503,0.00104195,"2020-03-27T09:50:14.653",0.00104922,0.00104466,0.00101783,"BTC-NEO",0.00103242,394,3071,4521.34509681
"77",0.00104497,4.65611503,0.00104195,"2020-03-27T09:50:29.66",0.00104922,0.00104466,0.00101783,"BTC-NEO",0.00103242,393,3071,4521.34509681
"78",0.00104491,4.65611503,0.00104195,"2020-03-27T09:50:44.72",0.00104922,0.00104466,0.00101783,"BTC-NEO",0.00103242,392,3073,4521.34509681
"79",0.00104343,4.65611503,0.00104195,"2020-03-27T09:50:59.7",0.00104922,0.00104466,0.00101783,"BTC-NEO",0.00103242,393,3072,4521.34509681
"80",0.00104343,4.65611503,0.00104195,"2020-03-27T09:51:14.653",0.00104922,0.00104466,0.00101783,"BTC-NEO",0.00103242,392,3071,4521.34509681
"81",0.00104343,4.65611503,0.00104195,"2020-03-27T09:51:29.687",0.00104922,0.00104466,0.00101783,"BTC-NEO",0.00103242,392,3072,4521.34509681
"82",0.00104343,4.65611503,0.00104195,"2020-03-27T09:51:44.66",0.00104922,0.00104466,0.00101783,"BTC-NEO",0.00103242,393,3072,4521.34509681
